index,t,objective,peak
611,1.22,0.183207689420859,0.0549186472437833
612,1.222,0.183255215088753,0.0554862009164303
613,1.224,0.183125532761461,0.0560589145365847
614,1.226,0.183190426435651,0.0566368272412408
615,1.228,0.183013876579466,0.0572199784023516
616,1.23,0.182943154976709,0.0578084076281215
617,1.232,0.182545459208332,0.0584021547642336
618,1.234,0.182352376964169,0.0590012598951485
619,1.236,0.181806558168433,0.0596057633453998
620,1.238,0.181447681410883,0.0602157056808633
621,1.24,0.180578490010976,0.0608311277101049
622,1.242,0.180086226591219,0.0614520704856846
623,1.244,0.179418276476305,0.062078575305498
624,1.246,0.178908161247763,0.0627106837141308
625,1.248,0.17838318967133,0.0633484375042142
626,1.25,0.177701275918842,0.0639918787178038
627,1.252,0.177277892895222,0.0646410496477675
628,1.254,0.176453248990244,0.0652959928391944
629,1.256,0.176001972193752,0.0659567510907824
630,1.258,0.174975539914565,0.0666233674563075
631,1.26,0.174520703154056,0.0672958852460259
632,1.262,0.173606105726293,0.0679743480281566
633,1.264,0.173237690511011,0.0686587996303423
634,1.266,0.172333793907781,0.0693492841411091
635,1.268,0.171758403307679,0.0700458459114165
636,1.27,0.170800612292637,0.0707485295561056
637,1.272,0.169920646415804,0.071457379955479
638,1.274,0.168668026088271,0.0721724422567886
639,1.276,0.167683487055603,0.0728937618758638
640,1.278,0.166723242786973,0.0736213844985878
641,1.28,0.165946030340486,0.0743553560825679
642,1.282,0.165254885708626,0.0750957228586794
643,1.284,0.164447541870911,0.0758425313327004
644,1.286,0.163520795571146,0.0765958282869559
645,1.288,0.162751189884094,0.0773556607819301
646,1.29,0.161954966386465,0.0781220761579628
647,1.292,0.160859038372714,0.0788951220369041
648,1.294,0.160149560426422,0.0796748463238174
649,1.296,0.159222027631989,0.0804612972086941
650,1.298,0.158384490329744,0.0812545231681612
651,1.3,0.157543240719409,0.0820545729672411
652,1.302,0.156815911732587,0.082861495661105
653,1.304,0.155827019844785,0.0836753405968507
654,1.306,0.154949894275624,0.0844961574152835
655,1.308,0.15409947885225,0.0853239960527493
656,1.31,0.153129499126147,0.086158906742936
657,1.312,0.151888604916869,0.0870009400187294
658,1.314,0.150567709186061,0.08785014671407
659,1.316,0.149046903165145,0.0887065779658461
660,1.318,0.147643157660514,0.0895702852157702
661,1.32,0.145884791775582,0.0904413202122982
662,1.322,0.145122296952662,0.0905090346068739
663,1.324,0.143263310517237,0.0913880144026481
664,1.326,0.141369066732553,0.0922744404217378
665,1.328,0.13974257968652,0.0931683657405419
666,1.33,0.138148270947728,0.0940698437583732
667,1.332,0.136753517854147,0.0949789281996842
668,1.334,0.13483019282617,0.0958956731161356
669,1.336,0.133218005901098,0.0968201328888353
670,1.338,0.146614695461831,0.0873460276782416
671,1.34,0.156175028547355,0.0819514048318959
672,1.342,0.153992597362055,0.0827396250779666
673,1.344,0.152395924997586,0.0835344648633432
674,1.346,0.150461000793199,0.0843359713300044
675,1.348,0.148843223578502,0.0851441919144916
676,1.35,0.147015832326301,0.0859591743499976
677,1.352,0.145233873305566,0.0867809666684843
678,1.354,0.143299192233733,0.0876096172027632
679,1.356,0.175903646604657,0.0711484497374251
680,1.358,0.174482073527675,0.071827031933219
681,1.36,0.172789800874785,0.0725112721391146
682,1.362,0.171411155459767,0.0732012106698838
683,1.364,0.16926619878511,0.0738968880985413
684,1.366,0.167717497106746,0.0745983452582532
685,1.368,0.165540309503718,0.0753056232442869
686,1.37,0.163916269374088,0.0760187634159556
687,1.372,0.163330200007059,0.0759257445079358
688,1.374,0.163036318616296,0.0760484636455748
689,1.376,0.161114011688461,0.0767683139232578
690,1.378,0.159975228745369,0.0774941447751664
691,1.38,0.158326772662822,0.0782259993054505
692,1.382,0.157448854634231,0.0789639209088041
693,1.384,0.156002504948229,0.0797079532728252
694,1.386,0.155244763460839,0.0804581403803708
695,1.388,0.154257837362646,0.0812145265119616
696,1.39,0.153590750721259,0.081977156248188
697,1.392,0.15239464813881,0.0827460744721599
698,1.394,0.151209115685741,0.0835213263719583
699,1.396,0.149902451085344,0.0843029574431445
700,1.398,0.148612673342092,0.085091013491261
701,1.4,0.147305105730007,0.0858855406343766
702,1.402,0.146138704397834,0.086686585305643
703,1.404,0.144673705214659,0.0874941942558946
704,1.406,0.143104778830992,0.0883084145562772
705,1.408,0.141168793744223,0.0891292936008418
706,1.41,0.1395374407553,0.0899568791092815
707,1.412,0.137810422897284,0.0907912191295622
708,1.414,0.136102148940958,0.0916323620406848
709,1.416,0.134396544744621,0.092480356555413
710,1.418,0.132558945937853,0.0933352517230494
711,1.42,0.130647381439379,0.0941970969322438
712,1.422,0.128853919769055,0.0950659419138001
713,1.424,0.126862223149946,0.0959418367435669
714,1.426,0.125911527982109,0.0961187656229227
715,1.428,0.12415936987823,0.0970028521669682
716,1.43,0.12215406003708,0.0978940998070876
717,1.432,0.120429885019904,0.0987925598709206
718,1.434,0.123530686772888,0.0954413557851899
719,1.436,0.138510777994152,0.0847538315891403
720,1.438,0.136451582080072,0.0855303519577345
721,1.44,0.134974532639558,0.0863131551514454
722,1.442,0.133253496827547,0.0871022865464091
723,1.444,0.131663129188428,0.0878977918454657
724,1.446,0.129931027023213,0.0886997170810215
725,1.448,0.128413731330941,0.0895081086179055
726,1.45,0.1265516554862,0.0903230131562938
727,1.452,0.125085351276816,0.0911444777346221
728,1.454,0.12306290326403,0.0919725497325606
729,1.456,0.121500665559132,0.0928072768739918
730,1.458,0.135930803329169,0.0821513124952632
731,1.46,0.140624861378741,0.0792882646851769
732,1.462,0.138298065474334,0.080006017997788
733,1.464,0.139807634786514,0.0789388022358019
734,1.466,0.138879160363187,0.0788311134871222
735,1.468,0.137284400685838,0.0795428165688022
736,1.47,0.147257178847003,0.0735552895216724
737,1.472,0.148902689132245,0.0726574557658919
738,1.474,0.167699659437125,0.0640489947535009
739,1.476,0.166426867190251,0.0646264804700139
740,1.478,0.164036206101642,0.0652086061372789
741,1.48,0.162949566662272,0.0657954059515155
742,1.482,0.160892791516238,0.0663869143716107
743,1.484,0.160120053979395,0.0669831661215571
744,1.486,0.158313767095497,0.0675841961929148
745,1.488,0.157506759402277,0.0681900398472984
746,1.49,0.155750453048621,0.0688007326188858
747,1.492,0.15504723139272,0.0694163103169585
748,1.494,0.153084705481976,0.0700368090284574
749,1.496,0.152072091027733,0.0706622651205728
750,1.498,0.150187919391043,0.0712927152433488
751,1.5,0.149180550953564,0.0719281963323252
752,1.502,0.147363797285077,0.0725687456111965
753,1.504,0.146621121659849,0.0732144005945
754,1.506,0.144936697555374,0.0738651990903269
755,1.508,0.144190793874662,0.0745211792030638
756,1.51,0.142257483971928,0.0751823793361561
757,1.512,0.141080723633027,0.0758488381949016
758,1.514,0.139067383332213,0.0765205947892676
759,1.516,0.137641506787335,0.0771976884367342
760,1.518,0.147263990734434,0.0715400185274309
761,1.52,0.145982339072581,0.0721722428053494
762,1.522,0.143497224477154,0.0728094883848612
763,1.524,0.142250498767679,0.0734517927019436
764,1.526,0.142236437659339,0.0727173685833333
765,1.528,0.142910462408523,0.0724304518860162
766,1.53,0.140626691275486,0.0730680335958139
767,1.532,0.13912101716563,0.0737106725707975
768,1.534,0.151374905600807,0.0671726163632902
769,1.536,0.150121695148192,0.0677653164989085
770,1.538,0.147828519026706,0.0683627635191163
771,1.54,0.146775863083288,0.0689649938970699
772,1.542,0.144614766822456,0.0695720444136339
773,1.544,0.143801896531034,0.0701839521604561
774,1.546,0.142034190181877,0.0708007545430744
775,1.548,0.141346142838638,0.0714224892840515
776,1.55,0.139935711647256,0.0720491944261478
777,1.552,0.139611556193257,0.072680908335517
778,1.554,0.138334247691767,0.073317669704954
779,1.556,0.138040045295116,0.0739595175571448
780,1.558,0.136844113585644,0.0746064912479788
781,1.56,0.136564014598587,0.0752586304698765
782,1.562,0.135446878899881,0.0759159752551599
783,1.564,0.135272802094296,0.076578565979449
784,1.566,0.13437099882152,0.0772464433651049
785,1.568,0.134113651042091,0.0779196484846873
786,1.57,0.132899065371114,0.0785982227644711
787,1.572,0.13250144899902,0.0792822079879778
788,1.574,0.131446865838818,0.0799716462995455
789,1.576,0.131280380401744,0.0806665802079569
790,1.578,0.130313189884608,0.0813670525900626
791,1.58,0.13018416955955,0.0820731066944751
792,1.582,0.129269967165424,0.082784786145285
793,1.584,0.129128518405379,0.0835021349458163
794,1.586,0.128162379650122,0.0842251974824087
795,1.588,0.128082024969505,0.0849540185282621
796,1.59,0.127187524531267,0.0856886432472946
797,1.592,0.12698006352085,0.0864291171980307
798,1.594,0.126016522055336,0.0871754863375735
799,1.596,0.125879798847901,0.0879277970255594
800,1.598,0.124953749137679,0.0886860960281868
801,1.6,0.124495375525566,0.0894504305222717
802,1.602,0.123444186547695,0.0902208480993431
803,1.604,0.122832244632154,0.0909973967697748
804,1.606,0.121697473730689,0.0917801249669705
805,1.608,0.121073110724193,0.0925690815515676
806,1.61,0.12006044468409,0.0933643158156974
807,1.612,0.119584099976856,0.0941658774872826
808,1.614,0.118491263810511,0.0949738167343633
809,1.616,0.117877802084196,0.0957881841694896
810,1.618,0.116689551318127,0.096609030854126
811,1.62,0.116105415764359,0.0974364083031172
812,1.622,0.11491445275829,0.0982703684891907
813,1.624,0.113838487956037,0.0991109638474937
814,1.626,0.112135293420586,0.0999582472801849
