t,x,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric,signal_part,dispersion_part,E_j,F_j
2.12,3.46458274844964,1.75234726097403,0.095885695209295,1.63949517870037,0.0648203442395972,0.100187350953299,0.0664102838577898,0.0337770670955088,0.996736077554868,0.00120476427624612
2.125,3.4611597456127,1.75001656753096,0.0960003113503268,1.63661303692486,0.0647933048838062,0.10101944167234,0.0669808283589752,0.0340386133133643,0.996734834693829,0.00120547150646412
2.13,3.44961591751325,1.74470315012566,0.0961158890353424,1.63374430609679,0.0647662499082286,0.0983494841926578,0.06404698115884,0.0343025030338179,0.996717383656579,0.00120932644094297
2.135,3.43327270228375,1.73767408434474,0.096235837791124,1.63092958694852,0.0647412915517123,0.0937695382482014,0.0592003352695975,0.0345692029786039,0.996690532701517,0.00121495646574806
2.14,3.43876551392198,1.73874169573526,0.096362168329276,1.62819265119111,0.0647196667933549,0.0982512741102035,0.0634122885646483,0.0348389855455552,0.996707648564611,0.00121219588125239
2.145,3.42762883246308,1.73367765450086,0.0964856823405552,1.62542440019521,0.0646956685477683,0.0958386584650857,0.0607280105373707,0.035110647927715,0.996691353248396,0.00121580675646332
2.15,3.43226443310314,1.73445873697508,0.0966133931946427,1.62270765975278,0.0646736329589766,0.100015431242237,0.0646302901047275,0.0353851411375092,0.996706789549532,0.00121337502287862
2.155,3.36381827736042,1.70830571784967,0.0967386405783252,1.61996388509621,0.064649441390988,0.0759985266950991,0.0403369293158628,0.0356615973792364,0.996575927606675,0.00123803503489948
2.16,3.38048289191713,1.71362756631961,0.0968922916544475,1.61755597285379,0.0646421199879817,0.0835730078733202,0.0476289233821484,0.0359440844911718,0.996616633481272,0.0012313301340792
2.165,3.34271875774758,1.69912943854523,0.0970383335683546,1.61506166254772,0.0646294502240051,0.0726433021520403,0.0364154592380218,0.0362278429140185,0.996548094895807,0.00124411207970289
2.17,3.32636847363379,1.69260836722224,0.097199813860605,1.6127492746389,0.0646256131920837,0.0693219085496924,0.0328060024753811,0.0365159060743113,0.996523098451814,0.00124906682316258
2.175,3.28657134817427,1.67773888577086,0.0973676459093854,1.61051270389783,0.0646250027362139,0.0600147721288119,0.0232077066617787,0.0368070654670332,0.996451484282025,0.00126171701170063
2.18,3.30275829369856,1.68305076718995,0.0975517762322404,1.60846643629038,0.064633710209392,0.0656147411055365,0.0285121533947909,0.0371025877107456,0.996492581617062,0.00125561656821684
2.185,3.30836358464747,1.68456648123539,0.0977284158208649,1.60633672751685,0.0646371291191779,0.06871012628015,0.0313107212240172,0.0373994050561328,0.996512129865427,0.00125300235609177
2.19,3.26629483749212,1.66894822765659,0.0979020680029607,1.60417513177189,0.0646380272084943,0.0591254291396026,0.0214272999338512,0.0376981292057514,0.996436159699814,0.00126626025383027
2.195,3.27749775590262,1.67255801268117,0.0980930730393178,1.60221396280144,0.0646488233726847,0.0632237980410137,0.0252223995036749,0.0380013985373387,0.996467515620951,0.00126188123986944
2.2,3.31358460559999,1.68504696720343,0.0982786741253909,1.60019379614029,0.0646556132604052,0.0749371033489415,0.0366308393125243,0.0383062640364172,0.996548352860606,0.00124893902149789
2.205,3.31471146372691,1.68494316914967,0.0984482035204849,1.59799398690903,0.064651924521064,0.0770080055707394,0.0383966391562601,0.0386113664144793,0.996558491372503,0.00124784280435395
2.21,3.29876675741818,1.67865002489987,0.098616663334775,1.5957841318663,0.0646468901816661,0.0737341118055947,0.03481539526915,0.0389187165364446,0.996534410156339,0.00125266968181195
2.215,3.25681617416872,1.66302817569626,0.0987913993767459,1.59364717218123,0.0646449559874945,0.0635923727848874,0.0243630704652503,0.0392293023196371,0.996458579956743,0.00126603967252801
2.22,3.2230927989729,1.6506470038275,0.0989836118826619,1.59170890151911,0.0646528820119171,0.0570914207214359,0.0175468435513948,0.0395445771700411,0.996399978489102,0.00127614109191714
2.225,3.18544731571378,1.63708265674909,0.0991897524305297,1.58992849515948,0.0646684979795247,0.0510724147104994,0.0112083904875974,0.039864024222902,0.996334135652065,0.00128697797260343
2.23,3.17402859868436,1.63296939799154,0.0994115219630547,1.5883240261369,0.0646928080970664,0.0502128569212906,0.0100250413064802,0.0401878156148103,0.996321418925326,0.00128969014441767
2.235,3.19284487104021,1.63949843947012,0.0996375962358161,1.58676922359868,0.064718955950128,0.0544668923558042,0.0139524151096371,0.0405144772461671,0.996369322256308,0.00128335336405478
2.24,3.16507900278221,1.62956383544165,0.0998548752225139,1.58511970498767,0.0647390492002866,0.0507331094261209,0.00989075759900921,0.0408423518271117,0.996323617899263,0.00129101700182107
2.245,3.16211136154269,1.6284862366801,0.100083591964449,1.58359792125996,0.0647652528328151,0.0512404464414064,0.0100663896134629,0.0411740568279435,0.996327981219684,0.00129122649397845
2.25,3.16386676396678,1.62907974027491,0.10031296700146,1.58208530079145,0.0647910809650161,0.0525161371662198,0.0110079355061473,0.0415082016600725,0.99634177310376,0.00129004063764068
2.255,3.16177087653399,1.6283148291461,0.100540942148914,1.5805593583044,0.0648152991059708,0.0531861129986052,0.0113415736244768,0.0418445393741284,0.996347753179956,0.00129000369889008
2.26,3.14770196360033,1.62332889359102,0.10076920259165,1.57903840338618,0.0648389145448941,0.0519166746954815,0.00973336829176987,0.0421833064037116,0.996329753823532,0.00129352287218757
2.265,3.16636503444808,1.62993350105392,0.101003003488833,1.57757928889737,0.0648650559923789,0.0560939144506886,0.0135687228886999,0.0425251915619886,0.996377417014273,0.00128727431268721
2.27,3.18728964555743,1.63734505637212,0.101227964814103,1.57602671244552,0.0648851597438072,0.0614399923296739,0.0185716432648137,0.0428683490648603,0.996429167385162,0.00128011510070094
2.275,3.20725203582269,1.64441923251057,0.101443068603551,1.57436985044756,0.0648986441340726,0.0673982433379975,0.0241855653370728,0.0432126780009248,0.9964785183883,0.00127302925149655
2.28,3.19748455371361,1.64074999205198,0.101648720131468,1.57261315859504,0.064905773107052,0.066394893914006,0.0228366282798983,0.0435582656341077,0.996467958128657,0.00127553888852411
2.285,3.17278792956659,1.63172492688097,0.101858087348064,1.57089801794179,0.0649143333942497,0.0620689979520782,0.0181620966357457,0.0439069013163325,0.996427664510943,0.00128276260281752
2.29,3.17561636648038,1.63270990000674,0.102077806810061,1.56929525098811,0.0649282241933041,0.0639572745127088,0.0196978061922828,0.044259468320426,0.996442830808365,0.0012812131126555
2.295,3.14299121429769,1.62092306772526,0.10229564527149,1.56767409150343,0.0649402309711204,0.0584734467053382,0.0138591113099102,0.044614335395428,0.996386968190934,0.00129071271645949
2.3,3.15545009021448,1.62543544555588,0.10252741152634,1.56620236682111,0.0649596334147861,0.0620839504197897,0.0171103393920072,0.0449736110277825,0.996421830044933,0.00128623334316381
2.305,3.12414802528657,1.61421203624509,0.102752985158616,1.56466686060014,0.0649746138369329,0.0572794021663625,0.0119447840172225,0.04533461814914,0.996368861240914,0.00129516883762251
2.31,3.07382390037228,1.59638360277528,0.102991955311466,1.56327398899093,0.0649966374558855,0.0510219754866563,0.00532200074090083,0.0456999747457555,0.996278374505184,0.0013090988615686
2.315,3.03336968656097,1.58241918601975,0.10325287120257,1.56211255064009,0.0650306771076234,0.048067581429834,0.00199684248796085,0.0460707389418732,0.996208507057072,0.00131945694100939
2.32,3.0223326608046,1.57895746242703,0.103531338030478,1.56113503266535,0.0650741333422923,0.04798026940974,0.00153402345923773,0.0464462459505023,0.996198155283581,0.00132180063513132
2.325,3.02751479321234,1.58117114666944,0.103814163585223,1.56020373051468,0.0651192801244486,0.0489421650620595,0.00211740154244894,0.0468247635196105,0.996220360939496,0.00131992939953864
2.33,3.01311847796026,1.57654473380198,0.104094043826998,1.5592432542283,0.0651618567222937,0.0486432061279806,0.00143784017045242,0.0472053659575282,0.996203223040274,0.00132316701232884
2.335,2.99112344375246,1.56932227642912,0.104379834855104,1.55834451595894,0.0652070096661196,0.0481664775959739,0.000577272540754372,0.0475892050552196,0.996171069344212,0.00132826868460191
