t,x,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric,signal_part,dispersion_part,E_j,F_j
0.401,1.81468327608839,0.372640749951412,0.139005984908071,0.482532946328307,0.0710213404709916,0.134667781096636,0.0434380391337989,0.0912297419628371,0.993306065144164,0.0135084588643517
0.402,1.82535331161246,0.386493324905767,0.1388488831022,0.477462142743148,0.0709714976345654,0.120924670665715,0.0297997565188896,0.0911249141468251,0.993297925502476,0.0135890334185627
0.403,1.81385651192521,0.355301363676599,0.138682257821524,0.472179340717633,0.0709221486825553,0.140252397504324,0.0492509342283162,0.0910014632760082,0.993289272285378,0.0135046532296496
0.404,1.8038431197996,0.327617693409961,0.138531139406261,0.467172274364904,0.0708733724925847,0.161195996680197,0.0702927917469701,0.0909032049332272,0.993281406373427,0.0134311911876125
0.405,1.80607577343721,0.324850154852965,0.138393500526166,0.46240635576433,0.0708250621144321,0.159188968245696,0.0683619835369012,0.0908269847087946,0.99327422714074,0.0134488095934916
0.406,1.8045553260399,0.314583207308875,0.138255513796254,0.457613044326851,0.0707771238314766,0.16473327965206,0.073984515031844,0.0907487646202163,0.993267015415575,0.0134384837132176
0.407,1.8271553047539,0.35255759216512,0.138121336326146,0.452874022802605,0.0707295659863752,0.127105369513824,0.0364295138011215,0.0906758557127023,0.993259988958992,0.013607765908559
0.408,1.86295229893019,0.417210636946938,0.137964172126264,0.447661754092579,0.0706823658386898,0.0939215369722606,0.00336054832615862,0.090560988646102,0.993251741379024,0.0138755357049112
0.409,1.85633187671488,0.395139070091014,0.137769253943794,0.441677072069668,0.070635701806012,0.0982375448330404,0.00786019219153495,0.0903773526415055,0.993241486424773,0.0138276731828105
0.41,1.88253072246924,0.440525996280486,0.137584992863482,0.435862798331756,0.0705898669541786,0.0902885053736793,7.90253888031697e-05,0.0902094799848762,0.993231765440492,0.0140242138756892
0.411,1.87249152554537,0.410893622359631,0.137374045764378,0.429479929118019,0.0705447943848768,0.0912488517166491,0.00125733648228366,0.0899915152343654,0.993220604576827,0.0139510052582682
0.412,1.88383795498895,0.42575614628209,0.137177981058214,0.4233464559635,0.0705006986118765,0.0898174466410315,2.11645024467987e-05,0.0897962821385847,0.99321020033765,0.0140370192906866
0.413,1.88797842194584,0.425602769338767,0.136972299743323,0.416976273431328,0.0704574830004495,0.0898523811103711,0.000271647741114522,0.0895807333692565,0.993199253777049,0.014069424390288
