index,t,objective,peak
363,1.81,1.42111884964143,0.139169249618276
364,1.815,1.42512729428947,0.140055735781718
365,1.82,1.42150926486076,0.140947417991125
366,1.825,1.42558143321295,0.141844408491898
367,1.83,1.42205271140873,0.14274668130675
368,1.835,1.42611377690777,0.143654197445917
369,1.84,1.42248832645366,0.144566961076331
370,1.845,1.42650727010277,0.145485092081266
371,1.85,1.42280735052812,0.146408610450342
372,1.855,1.42668892430064,0.147337558598627
373,1.86,1.42300231523594,0.148272070625214
374,1.865,1.42668939272121,0.149212088599303
375,1.87,1.42282481906935,0.150157767028032
376,1.875,1.42608934961696,0.151109111421402
377,1.88,1.42227348985454,0.152066369063782
378,1.885,1.4254837911519,0.153029490777657
379,1.89,1.42150690831411,0.153998538512111
380,1.895,1.42425096835487,0.154973543769105
381,1.9,1.41982379119148,0.15595466823641
382,1.905,1.42222057238586,0.15694202664937
383,1.91,1.41793439148818,0.157935748017474
384,1.915,1.42063943845849,0.158935843768417
385,1.92,1.41615209448735,0.159942227630479
386,1.925,1.41864666290935,0.160955012958804
387,1.93,1.41415699020481,0.161974274587547
388,1.935,1.4168016656109,0.16300006736648
389,1.94,1.4120993546624,0.164032338767567
390,1.945,1.41465001684091,0.165071225592119
391,1.95,1.40946756798311,0.166116710460607
392,1.955,1.41184425516154,0.167168980551627
393,1.96,1.4064840119513,0.168228079530178
394,1.965,1.40835866780563,0.169294050141281
395,1.97,1.40275526822507,0.170367050628561
396,1.975,1.40463055429239,0.171447145472041
397,1.98,1.39959883946281,0.172534423814272
398,1.985,1.40156926994036,0.173628766909298
399,1.99,1.39621419630995,0.174730218290865
400,1.995,1.39739410377778,0.175838825036104
401,2,1.39215409176184,0.176954863926377
402,2.005,1.39307709072834,0.178078275763333
403,2.01,1.38735801060193,0.179209156377504
404,2.015,1.38822718697011,0.180347656301229
405,2.02,1.38271632675513,0.18149382165604
406,2.025,1.38397973529049,0.182647665930872
407,2.03,1.37926989151139,0.183809212969427
408,2.035,1.38063398621435,0.184978312656682
409,2.04,1.37518341687311,0.186154938262489
410,2.045,1.37658251016667,0.187339385053262
411,2.05,1.37131952372873,0.188531641193015
412,2.055,1.37297266608715,0.189731729989943
413,2.06,1.36819314118464,0.190939677784856
414,2.065,1.37006223924223,0.192155395234908
415,2.07,1.36550751846527,0.193378918737952
