t,x,L_x,f_x,L_y,f_y
0.965,2.4501511171439,-0.98006044685756,2.69516622885829,-0.15498488828561,0
0.97,2.43875537510789,-0.975502150043156,2.68263091261868,-0.156124462489211,0
0.975,2.41742456186621,-0.966969824746485,2.65916701805283,-0.158257543813379,0
0.98,2.42848122149816,-0.971392488599264,2.67132934364798,-0.157151877850184,0
0.985,2.44430661693625,-0.977722646774501,2.68873727862988,-0.155569338306375,0
0.99,2.41642406906257,-0.966569627625028,2.65806647596883,-0.158357593093743,0
0.995,2.41125559454198,-0.964502237816793,2.65238115399618,-0.158874440545802,0
1,2.396553912657,-0.9586215650628,2.6362093039227,-0.1603446087343,0
1.005,2.38807244808102,-0.95522897923241,2.62687969288913,-0.161192755191898,0
1.01,2.42190907120005,-0.968763628480019,2.66409997832005,-0.157809092879995,0
1.015,2.39455072483154,-0.957820289932617,2.6340057973147,-0.160544927516846,0
1.02,2.41811315236678,-0.96724526094671,2.65992446760345,-0.158188684763322,0
1.025,2.41662005000275,-0.966648020001098,2.65828205500302,-0.158337994999726,0
1.03,2.39600363400448,-0.958401453601792,2.63560399740493,-0.160399636599552,0
1.035,2.39810405040069,-0.959241620160277,2.63791445544076,-0.160189594959931,0
1.04,2.41890092279927,-0.967560369119707,2.66079101507919,-0.158109907720073,0
1.045,2.36688418961538,-0.946753675846153,2.60357260857692,-0.163311581038462,0
1.05,2.29285123009111,-0.917140492036443,2.52213635310022,-0.170714876990889,0
1.055,2.28264251656856,-0.913057006627425,2.51090676822542,-0.171735748343144,0
1.06,2.26522816896741,-0.906091267586964,2.49175098586415,-0.173477183103259,0
1.065,2.23124710251406,-0.892498841005623,2.45437181276546,-0.176875289748594,0
1.07,2.23814052942051,-0.895256211768205,2.46195458236256,-0.176185947057949,0
1.075,2.2080950597936,-0.88323802391744,2.42890456577296,-0.17919049402064,0
1.08,2.17859202972327,-0.871436811889309,2.3964512326956,-0.182140797027673,0
1.085,2.18152165124878,-0.872608660499513,2.39967381637366,-0.181847834875122,0
1.09,2.15781409729107,-0.86312563891643,2.37359550702018,-0.184218590270893,0
1.095,2.14052464434584,-0.856209857738335,2.35457710878042,-0.185947535565416,0
1.1,2.14993283832065,-0.859973135328258,2.36492612215271,-0.185006716167936,0
1.105,2.18025279765825,-0.872101119063298,2.39827807742407,-0.181974720234175,0
1.11,2.16503602722878,-0.866014410891512,2.38153962995166,-0.183496397277122,0
1.115,2.17558450371237,-0.870233801484947,2.3931429540836,-0.182441549628763,0
1.12,2.16710831231472,-0.866843324925889,2.3838191435462,-0.183289168768528,0
1.125,2.13861731927037,-0.855446927708146,2.3524790511974,-0.186138268072963,0
1.13,2.10517514391017,-0.842070057564067,2.31569265830118,-0.189482485608983,0
1.135,2.06253413513485,-0.825013654053942,2.26878754864834,-0.193746586486515,0
1.14,2.02172131256786,-0.808688525027142,2.22389344382464,-0.197827868743215,0
1.145,2.03683873958291,-0.814735495833166,2.24052261354121,-0.196316126041709,0
1.15,2.05909749897009,-0.823638999588038,2.2650072488671,-0.194090250102991,0
1.155,2.04800500722015,-0.81920200288806,2.25280550794216,-0.195199499277985,0
1.16,2.02672561040419,-0.810690244161678,2.22939817144461,-0.197327438959581,0
1.165,1.95699817527229,-0.782799270108915,2.15269799279952,-0.204300182472771,0
1.17,1.9285514109322,-0.771420564372878,2.12140655202542,-0.20714485890678,0
1.175,1.9270336234166,-0.77081344936664,2.11973698575826,-0.20729663765834,0
1.18,1.90244978874522,-0.760979915498086,2.09269476761974,-0.209755021125478,0
1.185,1.91138139458152,-0.764552557832607,2.10251953403967,-0.208861860541848,0
1.19,1.9122782579224,-0.76491130316896,2.10350608371464,-0.20877217420776,0
1.195,1.9004554778212,-0.760182191128482,2.09050102560333,-0.20995445221788,0
1.2,1.90048467616364,-0.760193870465458,2.09053314378001,-0.209951532383636,0
1.205,1.84575397363287,-0.738301589453147,2.03032937099615,-0.215424602636713,0
1.21,1.85277989862366,-0.741111959449464,2.03805788848603,-0.214722010137634,0
1.215,1.84664263309176,-0.738657053236702,2.03130689640093,-0.215335736690825,0
1.22,1.83308175752357,-0.733232703009427,2.01638993327592,-0.216691824247643,0
1.225,1.82631710060651,-0.730526840242604,2.00894881066716,-0.217368289939349,0
1.23,1.82576938257696,-0.730307753030783,2.00834632083465,-0.217423061742304,0
1.235,1.84374982084772,-0.737499928339089,2.0281248029325,-0.215625017915228,0
1.24,1.843562622919,-0.737425049167602,2.02791888521091,-0.2156437377081,0
1.245,1.82778333889651,-0.731113335558602,2.01056167278616,-0.21722166611035,0
1.25,1.83220268011276,-0.732881072045105,2.01542294812404,-0.216779731988724,0
1.255,1.83959747414241,-0.735838989656963,2.02355722155665,-0.216040252585759,0
1.26,1.8616540926271,-0.74466163705084,2.04781950188981,-0.21383459073729,0
1.265,1.86948602098955,-0.74779440839582,2.05643462308851,-0.213051397901045,0
1.27,1.90895491193924,-0.763581964775696,2.09985040313317,-0.209104508806076,0
1.275,1.88618431504491,-0.754473726017966,2.07480274654941,-0.211381568495509,0
1.28,1.87026727292711,-0.748106909170844,2.05729400021982,-0.212973272707289,0
1.285,1.93417724842199,-0.773670899368794,2.12759497326418,-0.206582275157801,0
1.29,1.92238140279468,-0.768952561117874,2.11461954307415,-0.207761859720532,0
1.295,1.94153510090173,-0.776614040360691,2.1356886109919,-0.205846489909827,0
1.3,1.93568711793788,-0.774274847175153,2.12925582973167,-0.206431288206212,0
1.305,1.92693253623337,-0.770773014493348,2.11962578985671,-0.207306746376663,0
1.31,1.95127976107359,-0.780511904429434,2.14640773718094,-0.204872023892641,0
1.315,1.95015577460465,-0.780062309841859,2.14517135206511,-0.204984422539535,0
1.32,1.98357812119581,-0.793431248478322,2.18193593331539,-0.201642187880419,0
1.325,1.96667055958646,-0.786668223834583,2.1633376155451,-0.203332944041354,0
