t,x,L_x,f_x,L_y,f_y
8.405,4.4846343329571,0.44846343329571,-1.79385373318284,-0.69385373318284,0
8.41,4.44490967274938,0.444490967274938,-1.77796386909975,-0.677963869099753,0
8.415,4.46751310043499,0.446751310043499,-1.787005240174,-0.687005240173996,0
8.42,4.47623421947783,0.447623421947783,-1.79049368779113,-0.690493687791131,0
8.425,4.4642153666673,0.44642153666673,-1.78568614666692,-0.685686146666919,0
8.43,4.49172826104269,0.449172826104269,-1.79669130441708,-0.696691304417076,0
8.435,4.50889911404337,0.450889911404337,-1.80355964561735,-0.703559645617348,0
8.44,4.49229338185947,0.449229338185947,-1.79691735274379,-0.696917352743788,0
8.445,4.51098480894773,0.451098480894773,-1.80439392357909,-0.704393923579092,0
8.45,4.52855518437602,0.452855518437602,-1.81142207375041,-0.711422073750409,0
8.455,4.55166453397421,0.455166453397421,-1.82066581358968,-0.720665813589684,0
8.46,4.55564220105334,0.455564220105334,-1.82225688042133,-0.722256880421334,0
8.465,4.57381109612732,0.457381109612732,-1.82952443845093,-0.72952443845093,0
8.47,4.59884848805001,0.459884848805001,-1.83953939522,-0.739539395220003,0
8.475,4.63578056946041,0.463578056946041,-1.85431222778416,-0.754312227784165,0
8.48,4.65134681290465,0.465134681290465,-1.86053872516186,-0.760538725161859,0
8.485,4.65403652960119,0.465403652960119,-1.86161461184048,-0.761614611840476,0
8.49,4.67365378463332,0.467365378463332,-1.86946151385333,-0.769461513853328,0
8.495,4.69876390945556,0.469876390945556,-1.87950556378222,-0.779505563782223,0
8.5,4.71429987780422,0.471429987780422,-1.88571995112169,-0.785719951121687,0
8.505,4.69033029605145,0.469033029605145,-1.87613211842058,-0.776132118420578,0
8.51,4.69919934466672,0.469919934466672,-1.87967973786669,-0.779679737866687,0
8.515,4.71928449868899,0.471928449868899,-1.88771379947559,-0.787713799475595,0
8.52,4.76224012617472,0.476224012617472,-1.90489605046989,-0.804896050469889,0
8.525,4.75557650375283,0.475557650375283,-1.90223060150113,-0.80223060150113,0
8.53,4.79858012501617,0.479858012501617,-1.91943205000647,-0.819432050006467,0
8.535,4.83251559899699,0.483251559899699,-1.93300623959879,-0.833006239598794,0
8.54,4.85539380929069,0.485539380929069,-1.94215752371628,-0.842157523716275,0
8.545,4.8995139910242,0.48995139910242,-1.95980559640968,-0.859805596409679,0
8.55,4.94696052749099,0.494696052749099,-1.9787842109964,-0.878784210996397,0
8.555,4.99004619479954,0.499004619479954,-1.99601847791982,-0.896018477919817,0
8.56,4.99335088474112,0.499335088474112,-1.99734035389645,-0.897340353896447,0
8.565,5.03284280575227,0.503284280575227,-2.01313712230091,-0.913137122300909,0
8.57,5.08198326602418,0.508198326602418,-2.03279330640967,-0.932793306409672,0
8.575,5.06543957608931,0.506543957608931,-2.02617583043573,-0.926175830435726,0
8.58,5.05206906610947,0.505206906610947,-2.02082762644379,-0.920827626443788,0
8.585,5.04674935224212,0.504674935224212,-2.01869974089685,-0.91869974089685,0
8.59,5.03136799672433,0.503136799672433,-2.01254719868973,-0.912547198689733,0
8.595,5.0226946832446,0.50226946832446,-2.00907787329784,-0.90907787329784,0
8.6,5.10072054297679,0.510072054297679,-2.04028821719072,-0.940288217190715,0
8.605,5.12816423931106,0.512816423931106,-2.05126569572442,-0.951265695724425,0
8.61,5.13113880332459,0.513113880332459,-2.05245552132984,-0.952455521329835,0
8.615,5.12942664190304,0.512942664190304,-2.05177065676122,-0.951770656761216,0
8.62,5.13571462818083,0.513571462818083,-2.05428585127233,-0.95428585127233,0
8.625,5.13328326483264,0.513328326483264,-2.05331330593306,-0.953313305933057,0
8.63,5.15306771730384,0.515306771730384,-2.06122708692154,-0.961227086921535,0
8.635,5.15230668564318,0.515230668564318,-2.06092267425727,-0.960922674257273,0
8.64,5.13167003860903,0.513167003860903,-2.05266801544361,-0.952668015443611,0
8.645,5.19360458954214,0.519360458954214,-2.07744183581686,-0.977441835816857,0
8.65,5.19069219833117,0.519069219833116,-2.07627687933247,-0.976276879332466,0
8.655,5.18496862482659,0.518496862482659,-2.07398744993064,-0.973987449930635,0
8.66,5.20691905721392,0.520691905721392,-2.08276762288557,-0.982767622885567,0
8.665,5.22434063174048,0.522434063174048,-2.08973625269619,-0.989736252696192,0
8.67,5.21620460972388,0.521620460972388,-2.08648184388955,-0.986481843889551,0
8.675,5.22499847558859,0.522499847558859,-2.08999939023544,-0.989999390235435,0
8.68,5.22935664476357,0.522935664476357,-2.09174265790543,-0.99174265790543,0
8.685,5.26584491771851,0.526584491771851,-2.10633796708741,-1.00633796708741,0
8.69,5.27100643386788,0.527100643386788,-2.10840257354715,-1.00840257354715,0
8.695,5.2927389681693,0.52927389681693,-2.11709558726772,-1.01709558726772,0
8.7,5.32673853362489,0.532673853362489,-2.13069541344995,-1.03069541344995,0
8.705,5.35170123777939,0.535170123777939,-2.14068049511176,-1.04068049511176,0
8.71,5.36252136533673,0.536252136533673,-2.14500854613469,-1.04500854613469,0
8.715,5.41482858882684,0.541482858882684,-2.16593143553074,-1.06593143553074,0
8.72,5.4221613202255,0.54221613202255,-2.1688645280902,-1.0688645280902,0
8.725,5.43090023129711,0.543090023129711,-2.17236009251885,-1.07236009251885,0
8.73,5.43974751937946,0.543974751937946,-2.17589900775178,-1.07589900775178,0
8.735,5.47528106325966,0.547528106325966,-2.19011242530386,-1.09011242530386,0
8.74,5.51739675330902,0.551739675330902,-2.20695870132361,-1.10695870132361,0
8.745,5.51262791834174,0.551262791834174,-2.2050511673367,-1.1050511673367,0
8.75,5.53905807245914,0.553905807245914,-2.21562322898366,-1.11562322898366,0
8.755,5.51623622023844,0.551623622023844,-2.20649448809538,-1.10649448809538,0
8.76,5.5036393168565,0.55036393168565,-2.2014557267426,-1.1014557267426,0
8.765,5.51760543292799,0.551760543292799,-2.2070421731712,-1.1070421731712,0
8.77,5.53466373237851,0.553466373237851,-2.2138654929514,-1.1138654929514,0
8.775,5.54909263054818,0.554909263054818,-2.21963705221927,-1.11963705221927,0
