"index","n_re","peak_aci","peak_matlab","obj_aci","obj_msimps","obj_matlab","d_obj_native","d_obj_msimps","quad_diff","settled_frac","monotone"
318,984,0.101418386410043,0.101418386410041,0.0560048042588865,0.056004803764629,0.0560048037646281,4.94258370342671e-10,8.88178419700125e-16,4.94257482164251e-10,0.91869918699187,FALSE
319,983,0.102679632621377,0.102679632621378,0.0544026447922559,0.0544026447922559,0.0544026447922555,4.02455846426619e-16,4.02455846426619e-16,0,0.919633774160732,FALSE
320,982,0.103956254912791,0.103956254912788,0.052664996678498,0.052664996183905,0.0526649961839042,4.94593775657304e-10,8.04911692853238e-16,4.94592970745611e-10,0.919551934826884,FALSE
321,981,0.10524842226811,0.105248422268113,0.0515226662471116,0.0515226662471116,0.0515226662471125,9.0205620750794e-16,9.0205620750794e-16,0,0.919469928644241,FALSE
322,980,0.106556305047632,0.106556305047631,0.0500704126599596,0.0500704121650224,0.0500704121650225,4.94937112127669e-10,5.55111512312578e-17,4.9493716763882e-10,0.919387755102041,FALSE
323,979,0.107880074988066,0.107880074988066,0.0494747036360791,0.0494747036360791,0.0494747036360786,5.41233724504764e-16,5.41233724504764e-16,0,0.919305413687436,FALSE
324,978,0.109219905202136,0.109219905202134,0.0479399478668132,0.047939947371523,0.0479399473715227,4.95290468360832e-10,2.56739074444567e-16,4.95290211621757e-10,0.91922290388548,FALSE
325,977,0.110575970177875,0.110575970177873,0.0478476333729946,0.0478476333729946,0.0478476333729947,6.2450045135165e-17,6.93889390390723e-17,6.93889390390723e-18,0.91914022517912,FALSE
326,976,0.111948445777589,0.111948445777587,0.0465406273912737,0.0465406268956213,0.0465406268956213,4.95652428822435e-10,4.16333634234434e-17,4.95652387189072e-10,0.923155737704918,FALSE
327,975,0.113337509236479,0.113337509236482,0.046484089820753,0.046484089820753,0.0464840898207535,5.20417042793042e-16,5.34294830600857e-16,1.38777878078145e-17,0.923076923076923,FALSE
328,974,0.114743339160928,0.114743339160931,0.0450512751610801,0.0450512746650562,0.0450512746650564,4.96023715157445e-10,1.52655665885959e-16,4.96023867813111e-10,0.92299794661191,FALSE
329,973,0.116166115526423,0.116166115526422,0.0442910365124854,0.0442910365124854,0.0442910365124854,4.85722573273506e-17,4.85722573273506e-17,0,0.922918807810894,FALSE
